System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.50(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.37(Debug=False)

Messages
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Türe Störerfassung.IDB SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Türe Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Türe Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Türe Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Heizung Venti Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Heizung Venti Störerfassung.IDB Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Heizung Venti Störerfassung.IDB SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Heizung Venti Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Heizung Venti Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Heizung Venti Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Türe Befehelsausgabe.Wechsel fahre nach"Fahre nach Aufträge"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Allgemein Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Allgemein Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Allgemein Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Jumo Ofen 1 - 10 Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Jumo Ofen 1 - 10 Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Jumo Ofen 1 - 10 Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"HMI Station Data"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD LGO 1"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD LGO 2"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD LGO 3"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD ALO 1"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD ALO 2"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD ALO 3"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD ALO 4"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD ALO 5"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD ALO 6"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD ALO 7"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD In"" is not supported! | TIAParser.CreateMemberInfo() | 
